id	section	text
A001	vowels	అమ్మ అన్నం వండి అందరికీ వడ్డించింది.
A002	vowels	ఆవు ఆకులు తింటూ ఆగకుండా నడుస్తోంది.
A003	vowels	ఇల్లు ఇప్పుడు ఇద్దరికీ సరిపోతుంది.
A004	vowels	ఈ ఊరిలో ఈత చెట్లు ఎక్కువగా ఉన్నాయి.
A005	vowels	ఉదయం ఉడికించిన ఉప్మా చాలా రుచిగా ఉంది.
A006	vowels	ఊరు ఊరంతా ఊరేగింపు చూడటానికి వచ్చింది.
A007	vowels	ఋషి ఋతువుల గురించి వివరంగా చెప్పారు.
A008	vowels	ఎలుక ఎక్కడో మూలలో దాక్కుంది.
A009	vowels	ఏనుగు ఏటి ఒడ్డున నెమ్మదిగా నిలబడింది.
A010	vowels	ఐదు ఐస్ ముక్కలు ఎండలో కరిగిపోయాయి.
A011	vowels	ఒక ఒంటె ఒడ్డున ఒంటరిగా నడుస్తోంది.
A012	vowels	ఓడ ఓడరేవుకు ఓపికగా చేరుకుంది.
A013	vowels	ఔను, ఔషధం వేళకు వేసుకోండి.
A014	vowels	అంగడిలో అంతా అమ్ముడైపోయింది.
A015	vowels	దుఃఖంలో ఉన్నవారికి ధైర్యం చెప్పాలి.
A016	vowels	అక్క ఆకాశం వైపు ఆశగా చూసింది.
A017	vowels	ఇంటికి ఈరోజు ఇద్దరు అతిథులు వచ్చారు.
A018	vowels	ఉప్పు ఊరగాయలో ఎక్కువైంది.
A019	vowels	ఎండ ఏమాత్రం తగ్గలేదు.
A020	vowels	ఒప్పుకుంటే ఓ మంచి పని జరుగుతుంది.
A021	consonants	కమల కథ చెబుతూ కళ్ళు తుడుచుకుంది.
A022	consonants	ఖచ్చితంగా ఇప్పుడు ఖాళీ గది లేదు.
A023	consonants	గంట గట్టిగా మోగి గుడిలో ప్రతిధ్వనించింది.
A024	consonants	ఘనమైన ఘట్టం అందరి మనసులో నిలిచిపోయింది.
A025	consonants	అంగడి పక్కన రంగుల సంగీతం వినిపిస్తోంది.
A026	consonants	చిన్న చెట్టు చేలో చక్కగా పెరిగింది.
A027	consonants	ఛాయ చల్లగా ఉండటంతో అక్కడే కూర్చున్నాం.
A028	consonants	జనం జాతరకు జట్లుగా వచ్చారు.
A029	consonants	ఝరి ఝుమ్మని కొండ మీద నుంచి ప్రవహిస్తోంది.
A030	consonants	జ్ఞానం ఎప్పుడూ పెరుగుతూనే ఉంటుంది.
A031	consonants	టపటపా చినుకులు టిన్ మీద పడ్డాయి.
A032	consonants	ఠీవిగా నిలబడి అందరినీ పలకరించాడు.
A033	consonants	డబ్బు డబ్బాలో భద్రంగా దాచాను.
